cap dqbuf: 0 seq:    176 bytesused: 41958 ts: 783.973708 delta: 51.982 ms fps: 18.31 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    177 bytesused: 41940 ts: 784.021744 delta: 48.036 ms fps: 18.32 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    178 bytesused: 41952 ts: 784.073721 delta: 51.977 ms fps: 18.33 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    179 bytesused: 41924 ts: 784.125697 delta: 51.976 ms fps: 18.33 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    180 bytesused: 41930 ts: 784.173721 delta: 48.024 ms fps: 18.35 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    181 bytesused: 41936 ts: 784.225713 delta: 51.992 ms fps: 18.35 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    182 bytesused: 41940 ts: 784.277670 delta: 51.957 ms fps: 18.35 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    183 bytesused: 41938 ts: 784.325698 delta: 48.028 ms fps: 18.37 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    184 bytesused: 41951 ts: 784.377688 delta: 51.990 ms fps: 18.37 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:    185 bytesused: 41959 ts: 784.425721 delta: 48.033 ms fps: 18.38 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:    186 bytesused: 41955 ts: 784.477696 delta: 51.975 ms fps: 18.39 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:    187 bytesused: 41954 ts: 784.529683 delta: 51.987 ms fps: 18.39 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:    188 bytesused: 41933 ts: 784.577709 delta: 48.026 ms fps: 18.40 field: None (ts-monotonic, ts-src-soe)
